id,snr_db,transcript,hypothesis_degraded,hypothesis_enhanced,pesq_degraded,pesq_enhanced,delta_pesq,stoi_degraded,stoi_enhanced,delta_stoi,wer_degraded,wer_enhanced,wer_reduction
test_0000,7.98,after a time he gave up waiting and drearily headed for the madison car,After a time to give up waiting is clearly hidden for the battle to depart.,"After a time to give up waiting, it's clearly good for the bad of the park.",1.186,1.824,0.638,0.697,0.782,0.084,0.571,0.714,-0.143
test_0001,9.5,throughout this century the power of the church was constantly on the increase and is visible in many important changes,"Throughout the centuries, the power of the church was constantly on the increase and is visible in many important changes.","Throughout the century, the power of the church was constantly on the increase and is visible in many important changes.",1.159,1.824,0.665,0.757,0.816,0.06,0.1,0.05,0.05
test_0002,18.89,how wonderfully responsive to every emotion of the human soul,How wonderfully responsive to every emotion of the human soul.,How wonderfully responsive to every emotion of the human soul.,1.092,1.998,0.906,0.83,0.854,0.024,0.0,0.0,0.0
test_0003,1.09,during the auction he went about with his head down and never lifted his eyes,during yawking it's like about the head down that will let you die.,"During the auction, months out, we'll take down, never let us start.",1.066,1.587,0.521,0.603,0.645,0.041,0.733,0.667,0.067
test_0004,7.15,in aristocracies every man has one sole object which he unceasingly pursues but amongst democratic nations the existence of man is more complex the same mind will almost always embrace several objects at the same time and these objects are frequently wholly foreign to each other as it cannot know them all well the mind is readily satisfied with imperfect notions of each,"In our democracies, every man is one so object which he doesn't seem to be produced for the most democratic nation. The existence of man is more complex. The same mind will always avoid several objects of the same time, and these objects are strictly wholly foreign to each other, as it cannot load them all well. The mind is readily set aside to get perfect notion of each.","In our hypocrisy, every man is one so object which he doesn't seem to be produced, but amongst them are cravin' nation. The existence of man is more complex. The same mind will all much all way abridce several of these times, and these objects are strictly wholly foreign to each other, and it cannot load all well. The mind is readily set aside with his perforation speech.",1.097,1.451,0.353,0.782,0.79,0.008,0.397,0.524,-0.127
test_0005,2.78,fortunately there was nothing from his wife either,"Fortunately, there was nothing for his wife either.","Fortunately, there was nothing for his wife either.",1.21,2.175,0.964,0.786,0.847,0.061,0.125,0.125,0.0
test_0006,-0.47,a snake of his size in fighting trim would be more than any boy could handle,"Make a good side, lighting your head. It will be more than me for what I can handle.",Make a good size and fighting trim with the more than we need for our channel.,1.071,1.538,0.467,0.611,0.698,0.086,0.875,0.75,0.125
test_0007,9.18,one day when i rode over to the shimerdas i found antonia starting off on foot for russian peter's house to borrow a spade ambrosch needed,"One day, when I rode over to the Schmerdeck, I found and sent me a starting off on foot for rushing Peter's house, to find a safe ambush.","One day, when I wrote over to the shemareders, I found and sent me a starting off on foot for Russian Peter's House, to borrow a spade and brook shemareders.",1.164,2.069,0.905,0.76,0.848,0.088,0.37,0.333,0.037
test_0008,-3.91,i believe the seriousness of the americans arises partly from their pride,I believe this period came back to the right path because they're crying.,"I believe here is E-Max, the right spots, they're crying.",1.065,1.171,0.106,0.68,0.687,0.007,0.917,0.833,0.083
test_0009,0.7,he would have to pay her the money which she would now regularly demand or there would be trouble it did not matter what he did,"It would have to pay her the money, which she would now regularly demand, or there would be trouble. It does not matter what she did.",would have to pay her the funding which she would now regularly demand or there would be trouble. It does not matter what you do.,1.209,1.875,0.665,0.704,0.803,0.099,0.115,0.192,-0.077
test_0010,3.84,bui we should not forget our promise to our father cried the youngest daughter,"But we should not forget our promise to our father, President of this daughter.",But we should not forget our promise to our father.,1.093,1.621,0.528,0.762,0.81,0.049,0.286,0.357,-0.071
test_0011,11.69,after antonia had said the new words over and over she wanted to give me a little chased silver ring she wore on her middle finger,"After Anthony, I had said the new words over and over. He wanted to give me a little cake over a ring, but he wore a her middle finger.","After Anthony, I had said the new words over and over. If you wanted to give me a little chase, go over ring, do more on her middle finger.",1.125,2.073,0.948,0.743,0.816,0.073,0.346,0.346,0.0
test_0012,13.42,there were no breastworks yet that one little brigade of hamilton's division stood there in the open and repulsed assault after assault,"There were no rest work yet that one little brigade of Hamilton's division, so they're in the open and repulse the soul after assault.","There were no rest work, yet that one little brigade of Hamilton's division does there in the open and recalls the false after assault.",1.173,2.147,0.973,0.797,0.83,0.033,0.348,0.261,0.087
test_0013,10.18,he would go in and see anyhow he would have no row,He would go in and see any help. He would have no morale.,He would go in and see any help. He would have no role.,1.225,1.966,0.74,0.734,0.811,0.077,0.25,0.25,0.0
test_0014,19.69,he had loved her earnestly enough but now that the possibility of losing her stared him in the face she seemed much more attractive,"He had loved her earnestly enough, but now that the possibility of losing her is spared him in the base, she seems much more attractive.","He had loved her earnestly enough, but now that the possibility of losing her stared him in the face, she seemed much more attractive.",1.211,1.892,0.681,0.792,0.843,0.051,0.167,0.0,0.167
test_0015,12.31,is there nothing wild in the eye continued holgrave so earnestly that it embarrassed phoebe as did also the quiet freedom with which he presumed on their so recent acquaintance,"If there's nothing wild in the eye, continue to hold raise, so earnestly that it embarrasss TV, has been also the quiet freedom of which you presumed on this so weak in the quaint.",Is there nothing wild in the eye in your whole brain? So earnestly that it embarrassed baby? Is it also the quiet freedom which you presume are there so we can take blame?,1.165,2.193,1.029,0.84,0.882,0.042,0.567,0.533,0.033
test_0016,1.85,rosecrans protested it was in vain,Rose France broke out of it. It was insane.,Road France Road Chaplain. It was insane.,1.188,1.784,0.596,0.698,0.801,0.102,1.333,1.0,0.333
test_0017,0.67,the distinguishing mark of the hens was a crest of lamentably scanty growth in these latter days but so oddly and wickedly analogous to hepzibah's turban that phoebe to the poignant distress of her conscience but inevitably was led to fancy a general resemblance betwixt these forlorn bipeds and her respectable relative,"Because the thing we should mark is in for the pressure of the mentally can't be broken. These latter days. So, are the inspicuous and elegant? Irving. That baby, the queen is the pressure of the function, but inevitably. That defense can regenerate them, which will quickly be pulled on five cents, not her respectful remedy.","So, if the single-shing loss began, we'll expect a preventively scanning growth, these latter days. So, hardly as quickly as an elegance service, that cv, the point is stretching the function, but inevitably, that depends a general residence between four to five states. That's our respect to wealth.",1.122,1.278,0.156,0.72,0.789,0.069,0.906,0.868,0.038
test_0018,0.84,peter told his troubles to mister shimerda he was unable to meet a note which fell due on the first of november had to pay an exorbitant bonus on renewing it and to give a mortgage on his pigs and horses and even his milk cow,Peter told his trouble to Mr. Schmerda. He was unable to meet a note which felt he won the first seven years. He had to stay in his orbit and bonus on renewing him. And to give a mortgage on his cakes and horses leave his low count.,"Peter told his troubles to Mr. Tomato. He was unable to meet a note which tells you on the first six and a half hours. He had to pay an exorbitant bonus on renewing, and to give him mortgage on his stakes and fortunes to meet him with milk cows.",1.128,1.636,0.508,0.695,0.765,0.069,0.435,0.413,0.022
test_0019,3.33,it was evident that the race had degenerated like many a noble race besides in consequence of too strict a watchfulness to keep it pure,"It was evident that the race had degenerate, but many anocal race had died, and consequently too strict to watch with it even fewer.","It could have the rate that the generate, like many a noble rate to size, and consequence of too strict to watch for this deeper fuel.",1.142,1.633,0.491,0.821,0.878,0.057,0.56,0.68,-0.12
test_0020,6.63,the white double rosebush had evidently been propped up anew against the house since the commencement of the season and a pear tree and three damson trees which except a row of currant bushes constituted the only varieties of fruit bore marks of the recent amputation of several superfluous or defective limbs,"The white double road push had evidently been crossed up by due, against the house, since the commencement of the season. And the territory between three down and three, which except the row of current pushes, constituted the only variety you could prove for marks of the recent anti-taste of several people who are prospective men.","The white double rose bush has evidently been cropped up by due against the house, since the commencement of the seas, and the territory of the three dampened trees, which protect the royal current bushes, constitute as the only variety to prove, or marks at the recent manifestations of several steeper-fluous retrospectivements.",1.173,1.787,0.614,0.829,0.873,0.044,0.519,0.558,-0.038
test_0021,0.02,she made missus shimerda understand the friendly intention of our visit and the bohemian woman handled the loaves of bread and even smelled them and examined the pies with lively curiosity exclaiming much good much thank,"It may be fair to understand only in some other business. This is all you can do. You can't go to both the rest. You can even sell them and examine the size of life with curiosity and plenty. Much good, much better.","The babies are spared to understand the existence of our babies. This is what you do. This is terrible for both of us, and even self-improvement, and exhalent the pious, wisely curiosity, blaming what good, what to say.",1.111,1.406,0.294,0.562,0.664,0.102,0.972,0.833,0.139
test_0022,11.62,she asked peter to wait a moment and when she came back from the kitchen she brought a bag of sandwiches and doughnuts for us,She asked Peter to wait a moment and when she came back from the kitchen she brought a bag of sandwiches and donuts for us.,"She asked Peter to wait a moment. And when she came back from the kitchen, she brought a bag of sandwiches and donuts for us.",1.128,1.662,0.534,0.768,0.769,0.0,0.04,0.04,0.0
test_0023,19.81,ambrosch he make good farmer,"Ambrose, you make a good farmer.","Ambrose, you make a good farmer.",1.258,2.089,0.83,0.814,0.867,0.053,0.6,0.6,0.0
test_0024,-2.77,i can assure you that this is a modern face and one which you will very probably meet,I can assure you that this is a modern thing. It's fun. It's a very proper thing.,I can assure you that this is a fun thing. It's one of the 30 problems you need.,1.088,1.299,0.211,0.674,0.761,0.087,0.5,0.611,-0.111
