id,snr_db,transcript,guard_triggered,guard_triggers,hypothesis_degraded,hypothesis_deepfilternet,hypothesis_branch_a_raw,hypothesis_branch_a_guarded,pesq_degraded,pesq_deepfilternet,pesq_branch_a_raw,pesq_branch_a_guarded,stoi_degraded,stoi_deepfilternet,stoi_branch_a_raw,stoi_branch_a_guarded,wer_degraded,wer_deepfilternet,wer_branch_a_raw,wer_branch_a_guarded
test_0000,7.98,after a time he gave up waiting and drearily headed for the madison car,False,[],After a time to give up waiting is clearly hidden for the battle to depart.,"After a time to give up waiting, it's clearly good for the bad of the park.",After a time to give up waiting to care at least for the bad as far.,After a time to give up waiting to care at least for the bad as far.,1.186,1.824,1.402,1.402,0.697,0.782,0.726,0.726,0.571,0.714,0.643,0.643
test_0001,9.5,throughout this century the power of the church was constantly on the increase and is visible in many important changes,False,[],"Throughout the centuries, the power of the church was constantly on the increase and is visible in many important changes.","Throughout the century, the power of the church was constantly on the increase and is visible in many important changes.","Throughout this century, the power of the church was constantly on the inquiry and is visible in many important changes.","Throughout this century, the power of the church was constantly on the inquiry and is visible in many important changes.",1.159,1.824,1.417,1.417,0.757,0.816,0.757,0.757,0.1,0.05,0.05,0.05
test_0002,18.89,how wonderfully responsive to every emotion of the human soul,False,[],How wonderfully responsive to every emotion of the human soul.,How wonderfully responsive to every emotion of the human soul.,How wonderfully responsive to every emotion of the human soul.,How wonderfully responsive to every emotion of the human soul.,1.092,1.998,1.375,1.375,0.83,0.854,0.809,0.809,0.0,0.0,0.0,0.0
test_0003,1.09,during the auction he went about with his head down and never lifted his eyes,True,['Energy collapse (ratio=0.250 < 0.25)'],during yawking it's like about the head down that will let you die.,"During the auction, months out, we'll take down, never let us start.","During the auction, we went about to cut down, never went to the store.",during yawking it's like about the head down that will let you die.,1.066,1.587,1.189,1.066,0.603,0.645,0.633,0.603,0.733,0.667,0.6,0.733
test_0004,7.15,in aristocracies every man has one sole object which he unceasingly pursues but amongst democratic nations the existence of man is more complex the same mind will almost always embrace several objects at the same time and these objects are frequently wholly foreign to each other as it cannot know them all well the mind is readily satisfied with imperfect notions of each,False,[],"In our democracies, every man is one so object which he doesn't seem to be produced for the most democratic nation. The existence of man is more complex. The same mind will always avoid several objects of the same time, and these objects are strictly wholly foreign to each other, as it cannot load them all well. The mind is readily set aside to get perfect notion of each.","In our hypocrisy, every man is one so object which he doesn't seem to be produced, but amongst them are cravin' nation. The existence of man is more complex. The same mind will all much all way abridce several of these times, and these objects are strictly wholly foreign to each other, and it cannot load all well. The mind is readily set aside with his perforation speech.","In our espochristine, every man is one, though object which he doesn't seem to be perceived. But among democratization, the existence of man is work black. The same mind will always embrace several objects at the same time. And these objects are strictly hopey for each of them. And it cannot know them all well. The mind is readily set aside with imperfect notions of each.","In our espochristine, every man is one, though object which he doesn't seem to be perceived. But among democratization, the existence of man is work black. The same mind will always embrace several objects at the same time. And these objects are strictly hopey for each of them. And it cannot know them all well. The mind is readily set aside with imperfect notions of each.",1.097,1.451,1.292,1.292,0.782,0.79,0.78,0.78,0.397,0.524,0.397,0.397
test_0005,2.78,fortunately there was nothing from his wife either,False,[],"Fortunately, there was nothing for his wife either.","Fortunately, there was nothing for his wife either.","Fortunately, there was nothing for this slide to either.","Fortunately, there was nothing for this slide to either.",1.21,2.175,1.552,1.552,0.786,0.847,0.796,0.796,0.125,0.125,0.5,0.5
test_0006,-0.47,a snake of his size in fighting trim would be more than any boy could handle,True,"['Energy collapse (ratio=0.219 < 0.25)', 'Tonal peakiness/musical noise (flatness=0.0036 < 0.004)']","Make a good side, lighting your head. It will be more than me for what I can handle.",Make a good size and fighting trim with the more than we need for our channel.,Make a good side by the entrance. It would be more than me who wanted to handle.,"Make a good side, lighting your head. It will be more than me for what I can handle.",1.071,1.538,1.163,1.071,0.611,0.698,0.636,0.611,0.875,0.75,0.75,0.875
test_0007,9.18,one day when i rode over to the shimerdas i found antonia starting off on foot for russian peter's house to borrow a spade ambrosch needed,False,[],"One day, when I rode over to the Schmerdeck, I found and sent me a starting off on foot for rushing Peter's house, to find a safe ambush.","One day, when I wrote over to the shemareders, I found and sent me a starting off on foot for Russian Peter's House, to borrow a spade and brook shemareders.","One day when I rode over to the Schmerde, I found anded me a starting off on foot for Russian Peter's Tower, to borrow a big ambush.","One day when I rode over to the Schmerde, I found anded me a starting off on foot for Russian Peter's Tower, to borrow a big ambush.",1.164,2.069,1.553,1.553,0.76,0.848,0.774,0.774,0.37,0.333,0.296,0.296
test_0008,-3.91,i believe the seriousness of the americans arises partly from their pride,True,"['Energy collapse (ratio=0.218 < 0.25)', 'Tonal peakiness/musical noise (flatness=0.0032 < 0.004)']",I believe this period came back to the right path because they're crying.,"I believe here is E-Max, the right spots, they're crying.","I believe you're in the DMACC, but right, possibly to start crying.",I believe this period came back to the right path because they're crying.,1.065,1.171,1.126,1.065,0.68,0.687,0.699,0.68,0.917,0.833,0.833,0.917
test_0009,0.7,he would have to pay her the money which she would now regularly demand or there would be trouble it did not matter what he did,False,[],"It would have to pay her the money, which she would now regularly demand, or there would be trouble. It does not matter what she did.",would have to pay her the funding which she would now regularly demand or there would be trouble. It does not matter what you do.,"You would have to pay her the money that she would now regularly demand, or there would be trouble. This is not matter what she does.","You would have to pay her the money that she would now regularly demand, or there would be trouble. This is not matter what she does.",1.209,1.875,1.459,1.459,0.704,0.803,0.749,0.749,0.115,0.192,0.231,0.231
